direction,pips,usd,result,open,close,score,confidence,cum
BUY,64.0,6.4,TRAIL,2023-12-28 00:00:00+00:00,2023-12-28 01:00:00+00:00,28.4,0.9183,64.0
BUY,-32.0,-3.2,SL,2023-12-28 02:00:00+00:00,2023-12-28 05:00:00+00:00,21.2,0.7995,32.0
BUY,-1.0,-0.1,BE,2023-12-28 06:00:00+00:00,2023-12-28 07:00:00+00:00,22.0,0.8507,31.0
BUY,-1.0,-0.1,BE,2023-12-29 06:00:00+00:00,2023-12-29 07:00:00+00:00,21.9,0.9082,30.0
SELL,32.0,3.2,TRAIL,2024-01-03 09:00:00+00:00,2024-01-03 10:00:00+00:00,-18.7,0.754,62.0
SELL,-1.0,-0.1,BE,2024-01-03 20:00:00+00:00,2024-01-04 01:00:00+00:00,-21.8,0.8139,61.0
SELL,-1.0,-0.1,BE,2024-01-04 02:00:00+00:00,2024-01-04 04:00:00+00:00,-24.5,0.912,60.0
SELL,-32.0,-3.2,SL,2024-01-04 08:00:00+00:00,2024-01-04 09:00:00+00:00,-18.6,0.7408,28.0
SELL,-1.0,-0.1,BE,2024-01-04 17:00:00+00:00,2024-01-04 18:00:00+00:00,-18.0,0.7465,27.0
SELL,-32.0,-3.2,SL,2024-01-04 20:00:00+00:00,2024-01-05 01:00:00+00:00,-18.0,0.7465,-5.0
SELL,32.0,3.2,TRAIL,2024-01-05 03:00:00+00:00,2024-01-05 06:00:00+00:00,-18.6,0.7408,27.0
SELL,29.0,2.9,TRAIL,2024-01-05 08:00:00+00:00,2024-01-05 09:00:00+00:00,-27.6,0.95,56.0
SELL,149.0,14.9,TRAIL,2024-01-05 12:00:00+00:00,2024-01-05 13:00:00+00:00,-21.9,0.8417,205.0
SELL,98.0,9.8,TRAIL,2024-01-05 15:00:00+00:00,2024-01-05 16:00:00+00:00,-32.8,0.9183,303.0
SELL,-1.0,-0.1,BE,2024-01-05 20:00:00+00:00,2024-01-08 01:00:00+00:00,-18.0,0.6912,302.0
SELL,49.0,4.9,TRAIL,2024-01-08 02:00:00+00:00,2024-01-08 03:00:00+00:00,-27.6,0.95,351.0
SELL,77.0,7.7,TRAIL,2024-01-08 04:00:00+00:00,2024-01-08 05:00:00+00:00,-21.1,0.7885,428.0
SELL,30.0,3.0,TRAIL,2024-01-08 07:00:00+00:00,2024-01-08 08:00:00+00:00,-18.1,0.675,458.0
SELL,100.0,10.0,TRAIL,2024-01-08 10:00:00+00:00,2024-01-08 11:00:00+00:00,-26.9,0.8957,558.0
SELL,50.0,5.0,TRAIL,2024-01-08 12:00:00+00:00,2024-01-08 13:00:00+00:00,-34.3,0.9183,608.0
SELL,-32.0,-3.2,SL,2024-01-08 14:00:00+00:00,2024-01-08 15:00:00+00:00,-31.5,0.9183,576.0
SELL,41.0,4.1,TRAIL,2024-01-08 16:00:00+00:00,2024-01-08 17:00:00+00:00,-19.5,0.7488,617.0
SELL,-32.0,-3.2,SL,2024-01-08 18:00:00+00:00,2024-01-08 19:00:00+00:00,-24.5,0.912,585.0
SELL,-32.0,-3.2,SL,2024-01-08 20:00:00+00:00,2024-01-08 23:00:00+00:00,-32.5,0.9183,553.0
SELL,20.0,2.0,TRAIL,2024-01-09 00:00:00+00:00,2024-01-09 01:00:00+00:00,-24.4,0.95,573.0
SELL,32.0,3.2,TRAIL,2024-01-09 16:00:00+00:00,2024-01-09 17:00:00+00:00,-21.2,0.8792,605.0
SELL,-1.0,-0.1,BE,2024-01-09 18:00:00+00:00,2024-01-10 01:00:00+00:00,-20.4,0.846,604.0
SELL,24.0,2.4,TRAIL,2024-01-10 02:00:00+00:00,2024-01-10 03:00:00+00:00,-23.6,0.944,628.0
SELL,-1.0,-0.1,BE,2024-01-10 05:00:00+00:00,2024-01-10 06:00:00+00:00,-18.8,0.7019,627.0
SELL,-32.0,-3.2,SL,2024-01-10 07:00:00+00:00,2024-01-10 08:00:00+00:00,-19.8,0.7588,595.0
SELL,-1.0,-0.1,BE,2024-01-10 14:00:00+00:00,2024-01-10 15:00:00+00:00,-27.6,0.95,594.0
SELL,37.0,3.7,TRAIL,2024-01-10 16:00:00+00:00,2024-01-10 17:00:00+00:00,-21.7,0.8325,631.0
SELL,-32.0,-3.2,SL,2024-01-10 20:00:00+00:00,2024-01-10 23:00:00+00:00,-18.3,0.6839,599.0
SELL,-32.0,-3.2,SL,2024-01-11 00:00:00+00:00,2024-01-11 02:00:00+00:00,-23.6,0.944,567.0
SELL,146.0,14.6,TRAIL,2024-01-11 15:00:00+00:00,2024-01-11 16:00:00+00:00,-22.4,0.9032,713.0
SELL,18.0,1.8,TRAIL,2024-01-11 19:00:00+00:00,2024-01-11 20:00:00+00:00,-21.0,0.8064,731.0
BUY,-1.0,-0.1,BE,2024-01-12 18:00:00+00:00,2024-01-12 19:00:00+00:00,22.5,0.87,730.0
SELL,31.0,3.1,TRAIL,2024-01-16 08:00:00+00:00,2024-01-16 09:00:00+00:00,-18.9,0.762,761.0
SELL,-32.0,-3.2,SL,2024-01-16 13:00:00+00:00,2024-01-16 14:00:00+00:00,-18.9,0.7056,729.0
SELL,-1.0,-0.1,BE,2024-01-16 20:00:00+00:00,2024-01-16 23:00:00+00:00,-18.0,0.672,728.0
SELL,-1.0,-0.1,BE,2024-01-17 00:00:00+00:00,2024-01-17 01:00:00+00:00,-30.2,0.8957,727.0
SELL,43.0,4.3,TRAIL,2024-01-17 02:00:00+00:00,2024-01-17 03:00:00+00:00,-42.8,0.9229,770.0
SELL,50.0,5.0,TRAIL,2024-01-17 04:00:00+00:00,2024-01-17 05:00:00+00:00,-29.0,0.8957,820.0
SELL,-32.0,-3.2,SL,2024-01-17 06:00:00+00:00,2024-01-17 07:00:00+00:00,-23.0,0.8674,788.0
SELL,-1.0,-0.1,BE,2024-01-17 08:00:00+00:00,2024-01-17 09:00:00+00:00,-44.5,0.9229,787.0
SELL,-1.0,-0.1,BE,2024-01-17 10:00:00+00:00,2024-01-17 11:00:00+00:00,-18.3,0.7589,786.0
SELL,99.0,9.9,TRAIL,2024-01-17 13:00:00+00:00,2024-01-17 14:00:00+00:00,-29.4,0.95,885.0
SELL,-32.0,-3.2,SL,2024-01-17 18:00:00+00:00,2024-01-17 23:00:00+00:00,-26.4,0.8957,853.0
SELL,-1.0,-0.1,BE,2024-01-18 00:00:00+00:00,2024-01-18 01:00:00+00:00,-37.1,0.9183,852.0
SELL,-32.0,-3.2,SL,2024-01-18 05:00:00+00:00,2024-01-18 06:00:00+00:00,-19.0,0.7093,820.0
SELL,-1.0,-0.1,BE,2024-01-18 07:00:00+00:00,2024-01-18 08:00:00+00:00,-24.5,0.8867,819.0
SELL,-32.0,-3.2,SL,2024-01-18 09:00:00+00:00,2024-01-18 11:00:00+00:00,-20.5,0.7544,787.0
SELL,-32.0,-3.2,SL,2024-01-18 13:00:00+00:00,2024-01-18 14:00:00+00:00,-30.1,0.95,755.0
SELL,-32.0,-3.2,SL,2024-01-18 17:00:00+00:00,2024-01-18 18:00:00+00:00,-19.6,0.7526,723.0
SELL,-32.0,-3.2,SL,2024-01-18 19:00:00+00:00,2024-01-18 20:00:00+00:00,-22.8,0.8755,691.0
SELL,-32.0,-3.2,SL,2024-01-22 09:00:00+00:00,2024-01-22 11:00:00+00:00,-18.0,0.6912,659.0
SELL,61.0,6.1,TRAIL,2024-01-22 13:00:00+00:00,2024-01-22 14:00:00+00:00,-18.0,0.6912,720.0
SELL,-1.0,-0.1,BE,2024-01-22 17:00:00+00:00,2024-01-22 18:00:00+00:00,-30.0,0.95,719.0
SELL,-1.0,-0.1,BE,2024-01-22 19:00:00+00:00,2024-01-22 20:00:00+00:00,-22.3,0.8928,718.0
SELL,-32.0,-3.2,SL,2024-01-22 23:00:00+00:00,2024-01-23 02:00:00+00:00,-33.8,0.95,686.0
BUY,-32.0,-3.2,SL,2024-01-23 19:00:00+00:00,2024-01-24 00:00:00+00:00,18.6,0.7142,654.0
SELL,48.0,4.8,TRAIL,2024-01-24 17:00:00+00:00,2024-01-24 18:00:00+00:00,-35.6,0.9183,702.0
SELL,-32.0,-3.2,SL,2024-01-24 19:00:00+00:00,2024-01-24 23:00:00+00:00,-28.9,0.8957,670.0
SELL,-1.0,-0.1,BE,2024-01-25 00:00:00+00:00,2024-01-25 07:00:00+00:00,-31.6,0.8957,669.0
SELL,60.0,6.0,TRAIL,2024-01-25 14:00:00+00:00,2024-01-25 15:00:00+00:00,-19.6,0.8129,729.0
SELL,-32.0,-3.2,SL,2024-01-25 18:00:00+00:00,2024-01-25 19:00:00+00:00,-24.6,0.95,697.0
SELL,-32.0,-3.2,SL,2024-01-25 20:00:00+00:00,2024-01-26 01:00:00+00:00,-18.2,0.6698,665.0
SELL,-1.0,-0.1,BE,2024-01-26 02:00:00+00:00,2024-01-26 07:00:00+00:00,-23.4,0.8736,664.0
SELL,-32.0,-3.2,SL,2024-01-26 18:00:00+00:00,2024-01-28 23:00:00+00:00,-20.4,0.846,632.0
SELL,24.0,2.4,TRAIL,2024-01-29 08:00:00+00:00,2024-01-29 09:00:00+00:00,-19.2,0.7022,656.0
BUY,-32.0,-3.2,SL,2024-01-29 21:00:00+00:00,2024-01-29 23:00:00+00:00,22.1,0.8486,624.0
BUY,-32.0,-3.2,SL,2024-01-30 00:00:00+00:00,2024-01-30 01:00:00+00:00,21.3,0.8236,592.0
BUY,22.0,2.2,TRAIL,2024-01-30 03:00:00+00:00,2024-01-30 06:00:00+00:00,21.5,0.8978,614.0
BUY,-1.0,-0.1,BE,2024-01-30 12:00:00+00:00,2024-01-30 13:00:00+00:00,22.0,0.8297,613.0
BUY,22.0,2.2,TRAIL,2024-01-30 15:00:00+00:00,2024-01-30 16:00:00+00:00,26.5,0.9183,635.0
BUY,-32.0,-3.2,SL,2024-01-30 17:00:00+00:00,2024-01-30 18:00:00+00:00,36.1,0.95,603.0
BUY,-1.0,-0.1,BE,2024-01-30 19:00:00+00:00,2024-01-31 00:00:00+00:00,25.1,0.8957,602.0
BUY,26.0,2.6,TRAIL,2024-01-31 01:00:00+00:00,2024-01-31 07:00:00+00:00,19.5,0.7488,628.0
