comment,commission,entry,fee,magic,order,position_id,price,profit,swap,symbol,ticket,time,time_str,type,volume
Deposit for: 1301214537,0.0,0,0.0,0,0,0,0.0,10000.0,0.0,,725666884,1775961677,2026-04-12 02:41:17,2,0.0
SetCustomBalance,0.0,0,0.0,0,0,0,0.0,-9000.0,0.0,,725666903,1775961714,2026-04-12 02:41:54,2,0.0
test,0.0,0,0.0,0,734305847,734305847,4713.8,0.0,0.0,GOLD.i#,725981145,1776055154,2026-04-13 04:39:14,1,0.01
,0.0,1,0.0,0,734306023,734305847,4714.83,-1.03,0.0,GOLD.i#,725981314,1776055173,2026-04-13 04:39:33,0,0.01
AI-63%,0.0,0,0.0,0,734307290,734307290,4715.2,0.0,0.0,GOLD.i#,725982583,1776055259,2026-04-13 04:40:59,1,0.01
AI-78%,0.0,0,0.0,0,734308380,734308380,74.306,0.0,0.0,SILVER.i#,725983707,1776055311,2026-04-13 04:41:51,1,0.01
,0.0,0,0.0,0,734311161,734311161,4711.11,0.0,0.0,GOLD.i#,725986471,1776055532,2026-04-13 04:45:32,0,0.01
,0.0,0,0.0,0,734311444,734311444,4710.52,0.0,0.0,GOLD.i#,725986754,1776055543,2026-04-13 04:45:43,1,0.01
,0.0,1,0.0,0,734313386,734311161,4717.65,6.54,0.0,GOLD.i#,725988699,1776055733,2026-04-13 04:48:53,1,0.01
,0.0,1,0.0,0,734313606,734307290,4716.15,-0.95,0.0,GOLD.i#,725988922,1776055763,2026-04-13 04:49:23,0,0.01
,0.0,1,0.0,0,734313607,734308380,74.323,-0.85,0.0,SILVER.i#,725988923,1776055763,2026-04-13 04:49:23,0,0.01
,0.0,1,0.0,0,734313608,734311444,4717.01,-6.49,0.0,GOLD.i#,725988925,1776055764,2026-04-13 04:49:24,0,0.01
CT-SELL,0.0,0,0.0,0,734318955,734318955,74.366,0.0,0.0,SILVER.i#,725993873,1776056142,2026-04-13 04:55:42,1,0.01
CT-SELL,0.0,0,0.0,0,734327193,734327193,4723.18,0.0,0.0,GOLD.i#,726001459,1776056703,2026-04-13 05:05:03,1,0.01
,0.0,1,0.0,0,734434564,734327193,4713.8,9.38,0.0,GOLD.i#,726093383,1776066084,2026-04-13 07:41:24,0,0.01
,0.0,1,0.0,0,734434582,734318955,74.331,1.75,0.0,SILVER.i#,726093396,1776066088,2026-04-13 07:41:28,0,0.01
CT-SELL,0.0,0,0.0,0,734437452,734437452,4718.29,0.0,0.0,GOLD.i#,726096224,1776066189,2026-04-13 07:43:09,1,0.01
CT-SELL,0.0,0,0.0,0,734438946,734438946,74.406,0.0,0.0,SILVER.i#,726097722,1776066290,2026-04-13 07:44:50,1,0.01
,0.0,1,0.0,0,734484427,734438946,74.656,-12.5,0.0,SILVER.i#,726142089,1776069992,2026-04-13 08:46:32,0,0.01
CT-SELL,0.0,0,0.0,0,734486683,734486683,74.583,0.0,0.0,SILVER.i#,726144284,1776070108,2026-04-13 08:48:28,1,0.01
,0.0,1,0.0,0,734497857,734437452,4729.3,-11.01,0.0,GOLD.i#,726155599,1776070685,2026-04-13 08:58:05,0,0.01
CT-SELL,0.0,0,0.0,0,734502040,734502040,4724.97,0.0,0.0,GOLD.i#,726159807,1776070835,2026-04-13 09:00:35,1,0.01
,0.0,1,0.0,0,734573112,734502040,4736.97,-12.0,0.0,GOLD.i#,726229666,1776074538,2026-04-13 10:02:18,0,0.01
,0.0,1,0.0,0,734576182,734486683,74.783,-10.0,0.0,SILVER.i#,726232726,1776074601,2026-04-13 10:03:21,0,0.01
CT-SELL,0.0,0,0.0,0,734577504,734577504,4735.93,0.0,0.0,GOLD.i#,726233948,1776074657,2026-04-13 10:04:17,1,0.01
CT-SELL,0.0,0,0.0,0,734577972,734577972,74.723,0.0,0.0,SILVER.i#,726234394,1776074668,2026-04-13 10:04:28,1,0.01
,0.0,1,0.0,0,734649159,734577972,74.928,-10.25,0.0,SILVER.i#,726301971,1776078196,2026-04-13 11:03:16,0,0.01
CT-SELL,0.0,0,0.0,0,734652993,734652993,74.793,0.0,0.0,SILVER.i#,726305785,1776078351,2026-04-13 11:05:51,1,0.01
,0.0,1,0.0,0,734695412,734652993,74.405,19.4,0.0,SILVER.i#,726347371,1776080657,2026-04-13 11:44:17,0,0.01
CT-SELL,0.0,0,0.0,0,734713099,734713099,74.435,0.0,0.0,SILVER.i#,726364025,1776081233,2026-04-13 11:53:53,1,0.01
,0.0,1,0.0,0,734734548,734577504,4716.39,19.54,0.0,GOLD.i#,726385080,1776082268,2026-04-13 12:11:08,0,0.01
CT-SELL,0.0,0,0.0,0,734736776,734736776,4720.06,0.0,0.0,GOLD.i#,726387313,1776082355,2026-04-13 12:12:35,1,0.01
CT-SELL-c72%,0.0,0,0.0,0,734863915,734863915,74.307,0.0,0.0,SILVER.i#,726504029,1776088214,2026-04-13 13:50:14,1,0.01
,0.0,1,0.0,0,734882006,734713099,74.384,2.55,0.0,SILVER.i#,726519795,1776089023,2026-04-13 14:03:43,0,0.01
,0.0,1,0.0,0,734895396,734863915,74.246,3.05,0.0,SILVER.i#,726531957,1776089516,2026-04-13 14:11:56,0,0.01
,0.0,1,0.0,0,734895647,734736776,4721.89,-1.83,0.0,GOLD.i#,726532190,1776089527,2026-04-13 14:12:07,0,0.01
CT-SELL-c62%,0.0,0,0.0,0,734975657,734975657,74.003,0.0,0.0,SILVER.i#,726608229,1776092435,2026-04-13 15:00:35,1,0.01
,0.0,1,0.0,0,734991162,734975657,74.217,-10.7,0.0,SILVER.i#,726623120,1776092916,2026-04-13 15:08:36,0,0.01
CT-SELL-c58%,0.0,0,0.0,0,734992825,734992825,74.158,0.0,0.0,SILVER.i#,726624676,1776092985,2026-04-13 15:09:45,1,0.01
CT-SELL-c55%,0.0,0,0.0,0,735006978,735006978,74.238,0.0,0.0,SILVER.i#,726638745,1776093446,2026-04-13 15:17:26,1,0.01
CT-SELL-c78%,0.0,0,0.0,0,735008275,735008275,74.27,0.0,0.0,SILVER.i#,726639996,1776093502,2026-04-13 15:18:22,1,0.01
CT-SELL-c52%,0.0,0,0.0,0,735026276,735026276,4709.7,0.0,0.0,GOLD.i#,726657389,1776094155,2026-04-13 15:29:15,1,0.01
SCALE1-734992825,0.0,0,0.0,0,735028739,735028739,73.779,0.0,0.0,SILVER.i#,726659835,1776094268,2026-04-13 15:31:08,1,0.01
SCALE1-735006978,0.0,0,0.0,0,735029391,735029391,73.788,0.0,0.0,SILVER.i#,726660486,1776094288,2026-04-13 15:31:28,1,0.01
CT-SELL-c58%,0.0,0,0.0,0,735041468,735041468,4711.93,0.0,0.0,GOLD.i#,726671990,1776094837,2026-04-13 15:40:37,1,0.01
,0.0,1,0.0,0,735051116,735026276,4720.74,-11.04,0.0,GOLD.i#,726681320,1776095219,2026-04-13 15:46:59,0,0.01
,0.0,1,0.0,0,735051125,735041468,4720.97,-9.04,0.0,GOLD.i#,726681329,1776095220,2026-04-13 15:47:00,0,0.01
,0.0,1,0.0,0,735051139,734992825,74.026,6.6,0.0,SILVER.i#,726681340,1776095220,2026-04-13 15:47:00,0,0.01
,0.0,1,0.0,0,735051149,735006978,74.026,10.6,0.0,SILVER.i#,726681350,1776095220,2026-04-13 15:47:00,0,0.01
,0.0,1,0.0,0,735051169,735008275,74.026,12.2,0.0,SILVER.i#,726681369,1776095221,2026-04-13 15:47:01,0,0.01
,0.0,1,0.0,0,735051214,735028739,74.026,-12.35,0.0,SILVER.i#,726681413,1776095222,2026-04-13 15:47:02,0,0.01
,0.0,1,0.0,0,735051227,735029391,74.026,-11.9,0.0,SILVER.i#,726681426,1776095223,2026-04-13 15:47:03,0,0.01
CT-SELL-c48%,0.0,0,0.0,0,735052737,735052737,74.023,0.0,0.0,SILVER.i#,726682956,1776095266,2026-04-13 15:47:46,1,0.01
CT-SELL-c62%,0.0,0,0.0,0,735055144,735055144,74.03,0.0,0.0,SILVER.i#,726685370,1776095347,2026-04-13 15:49:07,1,0.01
CT-SELL-c61%,0.0,0,0.0,0,735071240,735071240,73.973,0.0,0.0,SILVER.i#,726700968,1776096000,2026-04-13 16:00:00,1,0.01
,0.0,1,0.0,0,735073567,735052737,74.134,-5.55,0.0,SILVER.i#,726703313,1776096017,2026-04-13 16:00:17,0,0.01
,0.0,1,0.0,0,735073577,735055144,74.133,-5.15,0.0,SILVER.i#,726703324,1776096018,2026-04-13 16:00:18,0,0.01
,0.0,1,0.0,0,735073592,735071240,74.129,-7.8,0.0,SILVER.i#,726703339,1776096018,2026-04-13 16:00:18,0,0.01
CT-SELL-c54%,0.0,0,0.0,0,735078009,735078009,74.011,0.0,0.0,SILVER.i#,726707783,1776096127,2026-04-13 16:02:07,1,0.01
CT-SELL-c52%,0.0,0,0.0,0,735085672,735085672,73.906,0.0,0.0,SILVER.i#,726715291,1776096333,2026-04-13 16:05:33,1,0.01
,0.0,1,0.0,0,735086245,735078009,73.97,2.05,0.0,SILVER.i#,726715871,1776096350,2026-04-13 16:05:50,0,0.01
CT-SELL-c55%,0.0,0,0.0,0,735089901,735089901,73.921,0.0,0.0,SILVER.i#,726719559,1776096525,2026-04-13 16:08:45,1,0.01
CT-SELL-c62%,0.0,0,0.0,0,735091110,735091110,73.916,0.0,0.0,SILVER.i#,726720783,1776096588,2026-04-13 16:09:48,1,0.01
,0.0,1,0.0,0,735099947,735085672,74.089,-9.15,0.0,SILVER.i#,726729790,1776096830,2026-04-13 16:13:50,0,0.01
,0.0,1,0.0,0,735099950,735089901,74.089,-8.4,0.0,SILVER.i#,726729793,1776096831,2026-04-13 16:13:51,0,0.01
,0.0,1,0.0,0,735099953,735091110,74.088,-8.6,0.0,SILVER.i#,726729796,1776096831,2026-04-13 16:13:51,0,0.01
CT-SELL-c58%,0.0,0,0.0,0,735105226,735105226,73.962,0.0,0.0,SILVER.i#,726734873,1776097037,2026-04-13 16:17:17,1,0.01
CT-SELL-c60%,0.0,0,0.0,0,735106194,735106194,4733.46,0.0,0.0,GOLD.i#,726735866,1776097085,2026-04-13 16:18:05,1,0.01
CT-SELL-c55%,0.0,0,0.0,0,735107513,735107513,73.968,0.0,0.0,SILVER.i#,726737178,1776097143,2026-04-13 16:19:03,1,0.01
,0.0,1,0.0,0,735115398,735105226,74.12,-7.9,0.0,SILVER.i#,726744945,1776097395,2026-04-13 16:23:15,0,0.01
,0.0,1,0.0,0,735115402,735107513,74.12,-7.6,0.0,SILVER.i#,726744949,1776097395,2026-04-13 16:23:15,0,0.01
CT-SELL-c58%,0.0,0,0.0,0,735116784,735116784,74.114,0.0,0.0,SILVER.i#,726746343,1776097445,2026-04-13 16:24:05,1,0.01
,0.0,1,0.0,0,735129418,735116784,74.247,-6.65,0.0,SILVER.i#,726758426,1776097943,2026-04-13 16:32:23,0,0.01
,0.0,1,0.0,0,735176452,735106194,4734.67,-1.21,0.0,GOLD.i#,726804945,1776099089,2026-04-13 16:51:29,0,0.01
CT-SELL-c62%,0.0,0,0.0,0,735248586,735248586,74.062,0.0,0.0,SILVER.i#,726875692,1776101281,2026-04-13 17:28:01,1,0.01
,0.0,1,0.0,0,735267554,735248586,74.175,-5.65,0.0,SILVER.i#,726894111,1776101804,2026-04-13 17:36:44,0,0.01
CT-SELL-c75%,0.0,0,0.0,0,735287266,735287266,74.007,0.0,0.0,SILVER.i#,726913755,1776102564,2026-04-13 17:49:24,1,0.01
,0.0,1,0.0,0,735287632,735287266,74.066,-2.95,0.0,SILVER.i#,726914111,1776102582,2026-04-13 17:49:42,0,0.01
CT-SELL-c77%,0.0,0,0.0,0,735296315,735296315,73.935,0.0,0.0,SILVER.i#,726922681,1776102878,2026-04-13 17:54:38,1,0.01
CT-SELL-c78%,0.0,0,0.0,0,735299857,735299857,74.002,0.0,0.0,SILVER.i#,726926199,1776103000,2026-04-13 17:56:40,1,0.01
,0.0,1,0.0,0,735300282,735296315,74.018,-4.15,0.0,SILVER.i#,726926623,1776103018,2026-04-13 17:56:58,0,0.01
CT-SELL-c77%,0.0,0,0.0,0,735300515,735300515,73.978,0.0,0.0,SILVER.i#,726926862,1776103032,2026-04-13 17:57:12,1,0.01
[sl 74.040],0.0,1,0.0,0,735300807,735300515,74.048,-3.5,0.0,SILVER.i#,726927126,1776103047,2026-04-13 17:57:27,0,0.01
,0.0,1,0.0,0,735300896,735299857,74.032,-1.5,0.0,SILVER.i#,726927202,1776103051,2026-04-13 17:57:31,0,0.01
CT-SELL-c72%,0.0,0,0.0,0,735310770,735310770,73.905,0.0,0.0,SILVER.i#,726936880,1776103379,2026-04-13 18:02:59,1,0.01
CT-SELL-c78%,0.0,0,0.0,0,735311020,735311020,73.925,0.0,0.0,SILVER.i#,726937127,1776103383,2026-04-13 18:03:03,1,0.01
,0.0,1,0.0,0,735332565,735310770,73.932,-1.35,0.0,SILVER.i#,726958617,1776103810,2026-04-13 18:10:10,0,0.01
,0.0,1,0.0,0,735332577,735311020,73.934,-0.45,0.0,SILVER.i#,726958629,1776103811,2026-04-13 18:10:11,0,0.01
CT-SELL-c83%,0.0,0,0.0,0,735340557,735340557,73.928,0.0,0.0,SILVER.i#,726966564,1776104021,2026-04-13 18:13:41,1,0.01
,0.0,1,0.0,0,735341174,735340557,73.962,-1.7,0.0,SILVER.i#,726967180,1776104037,2026-04-13 18:13:57,0,0.01
CT-SELL-c64%,0.0,0,0.0,0,735348270,735348270,73.986,0.0,0.0,SILVER.i#,726974229,1776104336,2026-04-13 18:18:56,1,0.01
,0.0,1,0.0,0,735348868,735348270,74.049,-3.15,0.0,SILVER.i#,726974830,1776104352,2026-04-13 18:19:12,0,0.01
CT-SELL-c64%,0.0,0,0.0,0,735352377,735352377,73.97,0.0,0.0,SILVER.i#,726978298,1776104491,2026-04-13 18:21:31,1,0.01
[sl 74.070],0.0,1,0.0,0,735353135,735352377,74.072,-5.1,0.0,SILVER.i#,726979049,1776104551,2026-04-13 18:22:31,0,0.01
CT-SELL-c64%,0.0,0,0.0,0,735357855,735357855,73.953,0.0,0.0,SILVER.i#,726983829,1776104757,2026-04-13 18:25:57,1,0.01
,0.0,1,0.0,0,735358211,735357855,73.998,-2.25,0.0,SILVER.i#,726984190,1776104774,2026-04-13 18:26:14,0,0.01
CT-SELL-c64%,0.0,0,0.0,0,735360854,735360854,73.912,0.0,0.0,SILVER.i#,726986850,1776104919,2026-04-13 18:28:39,1,0.01
,0.0,1,0.0,0,735361068,735360854,73.94,-1.4,0.0,SILVER.i#,726987061,1776104935,2026-04-13 18:28:55,0,0.01
CT-SELL-c64%,0.0,0,0.0,0,735364052,735364052,73.844,0.0,0.0,SILVER.i#,726990020,1776105098,2026-04-13 18:31:38,1,0.01
,0.0,1,0.0,0,735364221,735364052,73.894,-2.5,0.0,SILVER.i#,726990193,1776105115,2026-04-13 18:31:55,0,0.01
CT-BUY-c71%,0.0,0,0.0,0,735365745,735365745,4705.2,0.0,0.0,GOLD.i#,726991720,1776105176,2026-04-13 18:32:56,0,0.01
[tp 4710.11],0.0,1,0.0,0,735369196,735365745,4710.23,5.03,0.0,GOLD.i#,726995179,1776105301,2026-04-13 18:35:01,1,0.01
CT-BUY-c71%,0.0,0,0.0,0,735371131,735371131,4710.54,0.0,0.0,GOLD.i#,726997142,1776105379,2026-04-13 18:36:19,0,0.01
[tp 4715.19],0.0,1,0.0,0,735374686,735371131,4715.19,4.65,0.0,GOLD.i#,727000627,1776105497,2026-04-13 18:38:17,1,0.01
CT-BUY-c69%,0.0,0,0.0,0,735389947,735389947,4713.95,0.0,0.0,GOLD.i#,727015714,1776106220,2026-04-13 18:50:20,0,0.01
[sl 4709.99],0.0,1,0.0,0,735407358,735389947,4709.71,-4.24,0.0,GOLD.i#,727033070,1776107118,2026-04-13 19:05:18,1,0.01
CT-SELL-c87%,0.0,0,0.0,0,735476111,735476111,75.591,0.0,0.0,SILVER.i#,727099830,1776109387,2026-04-13 19:43:07,1,0.01
,0.0,1,0.0,0,735479615,735476111,75.708,-5.85,0.0,SILVER.i#,727103306,1776109495,2026-04-13 19:44:55,0,0.01
CT-SELL-c87%,0.0,0,0.0,0,735482173,735482173,75.556,0.0,0.0,SILVER.i#,727105804,1776109578,2026-04-13 19:46:18,1,0.01
,0.0,1,0.0,0,735482578,735482173,75.601,-2.25,0.0,SILVER.i#,727106210,1776109595,2026-04-13 19:46:35,0,0.01
CT-SELL-c87%,0.0,0,0.0,0,735492504,735492504,75.451,0.0,0.0,SILVER.i#,727115862,1776109827,2026-04-13 19:50:27,1,0.01
,0.0,1,0.0,0,735493202,735492504,75.533,-4.1,0.0,SILVER.i#,727116566,1776109843,2026-04-13 19:50:43,0,0.01
CT-SELL-c87%,0.0,0,0.0,0,735495651,735495651,75.503,0.0,0.0,SILVER.i#,727118979,1776109900,2026-04-13 19:51:40,1,0.01
,0.0,1,0.0,0,735496128,735495651,75.527,-1.2,0.0,SILVER.i#,727119453,1776109917,2026-04-13 19:51:57,0,0.01
CT-SELL-c87%,0.0,0,0.0,0,735499939,735499939,75.331,0.0,0.0,SILVER.i#,727123283,1776110062,2026-04-13 19:54:22,1,0.01
,0.0,1,0.0,0,735500232,735499939,75.392,-3.05,0.0,SILVER.i#,727123504,1776110078,2026-04-13 19:54:38,0,0.01
CT-SELL-c87%,0.0,0,0.0,0,735501213,735501213,75.228,0.0,0.0,SILVER.i#,727124454,1776110148,2026-04-13 19:55:48,1,0.01
,0.0,1,0.0,0,735503958,735501213,75.36,-6.6,0.0,SILVER.i#,727127199,1776110247,2026-04-13 19:57:27,0,0.01
CT-SELL-c87%,0.0,0,0.0,0,735509442,735509442,75.402,0.0,0.0,SILVER.i#,727132661,1776110462,2026-04-13 20:01:02,1,0.01
,0.0,1,0.0,0,735509720,735509442,75.465,-3.15,0.0,SILVER.i#,727132935,1776110479,2026-04-13 20:01:19,0,0.01
CT-SELL-c75%,0.0,0,0.0,0,735510807,735510807,4735.45,0.0,0.0,GOLD.i#,727134019,1776110539,2026-04-13 20:02:19,1,0.01
[sl 4736.54],0.0,1,0.0,0,735510902,735510807,4736.73,-1.28,0.0,GOLD.i#,727134117,1776110546,2026-04-13 20:02:26,0,0.01
CT-SELL-c87%,0.0,0,0.0,0,735511629,735511629,75.409,0.0,0.0,SILVER.i#,727134846,1776110575,2026-04-13 20:02:55,1,0.01
,0.0,1,0.0,0,735512041,735511629,75.469,-3.0,0.0,SILVER.i#,727135254,1776110591,2026-04-13 20:03:11,0,0.01
CT-SELL-c75%,0.0,0,0.0,0,735514142,735514142,4737.93,0.0,0.0,GOLD.i#,727137369,1776110692,2026-04-13 20:04:52,1,0.01
CT-SELL-c87%,0.0,0,0.0,0,735514505,735514505,75.354,0.0,0.0,SILVER.i#,727137726,1776110719,2026-04-13 20:05:19,1,0.01
,0.0,1,0.0,0,735514638,735514505,75.396,-2.1,0.0,SILVER.i#,727137856,1776110735,2026-04-13 20:05:35,0,0.01
[tp 4733.29],0.0,1,0.0,0,735516130,735514142,4733.24,4.6899999999999995,0.0,GOLD.i#,727139366,1776110791,2026-04-13 20:06:31,0,0.01
CT-SELL-c87%,0.0,0,0.0,0,735519241,735519241,75.2,0.0,0.0,SILVER.i#,727142451,1776110863,2026-04-13 20:07:43,1,0.01
,0.0,1,0.0,0,735520272,735519241,75.23,-1.5,0.0,SILVER.i#,727143454,1776110879,2026-04-13 20:07:59,0,0.01
CT-SELL-c87%,0.0,0,0.0,0,735523810,735523810,75.285,0.0,0.0,SILVER.i#,727146830,1776111013,2026-04-13 20:10:13,1,0.01
[sl 75.340],0.0,1,0.0,0,735523814,735523810,75.343,-2.9,0.0,SILVER.i#,727146834,1776111013,2026-04-13 20:10:13,0,0.01
CT-SELL-c75%,0.0,0,0.0,0,735525817,735525817,4731.03,0.0,0.0,GOLD.i#,727148853,1776111142,2026-04-13 20:12:22,1,0.01
CT-SELL-c87%,0.0,0,0.0,0,735526327,735526327,75.338,0.0,0.0,SILVER.i#,727149373,1776111174,2026-04-13 20:12:54,1,0.01
,0.0,1,0.0,0,735526683,735526327,75.392,-2.7,0.0,SILVER.i#,727149728,1776111191,2026-04-13 20:13:11,0,0.01
CT-SELL-c75%,0.0,0,0.0,0,735527432,735527432,4729.88,0.0,0.0,GOLD.i#,727150473,1776111250,2026-04-13 20:14:10,1,0.01
,0.0,1,0.0,0,735529393,735525817,4732.46,-1.43,0.0,GOLD.i#,727152366,1776111406,2026-04-13 20:16:46,0,0.01
,0.0,1,0.0,0,735529441,735527432,4732.49,-2.61,0.0,GOLD.i#,727152414,1776111406,2026-04-13 20:16:46,0,0.01
CT-SELL-c87%,0.0,0,0.0,0,735531132,735531132,75.455,0.0,0.0,SILVER.i#,727154128,1776111470,2026-04-13 20:17:50,1,0.01
,0.0,1,0.0,0,735531885,735531132,75.52,-3.25,0.0,SILVER.i#,727154883,1776111486,2026-04-13 20:18:06,0,0.01
CT-SELL-c87%,0.0,0,0.0,0,735537795,735537795,75.53,0.0,0.0,SILVER.i#,727160785,1776111647,2026-04-13 20:20:47,1,0.01
,0.0,1,0.0,0,735538312,735537795,75.587,-2.85,0.0,SILVER.i#,727161300,1776111664,2026-04-13 20:21:04,0,0.01
CT-SELL-c87%,0.0,0,0.0,0,735540441,735540441,75.566,0.0,0.0,SILVER.i#,727163442,1776111747,2026-04-13 20:22:27,1,0.01
,0.0,1,0.0,0,735541819,735540441,75.633,-3.35,0.0,SILVER.i#,727164830,1776111763,2026-04-13 20:22:43,0,0.01
CT-SELL-c65%,0.0,0,0.0,0,735548664,735548664,4749.11,0.0,0.0,GOLD.i#,727171652,1776112051,2026-04-13 20:27:31,1,0.01
CT-SELL-c68%,0.0,0,0.0,0,735549481,735549481,75.514,0.0,0.0,SILVER.i#,727172435,1776112070,2026-04-13 20:27:50,1,0.01
,0.0,1,0.0,0,735550063,735549481,75.55,-1.8,0.0,SILVER.i#,727172993,1776112087,2026-04-13 20:28:07,0,0.01
[tp 4743.15],0.0,1,0.0,0,735552003,735548664,4743.12,5.99,0.0,GOLD.i#,727174817,1776112150,2026-04-13 20:29:10,0,0.01
